at,x,y,z
O,-0.1258106100,-2.8366875401, 0.0000000000
H, 1.5411223401,-3.5290678999, 0.0000000000
H, 0.1164376700,-1.0358828399, 0.0000000000
O, 0.1157300000, 2.6984483199, 0.0000000000
H,-0.7487867799, 3.3794536600,-1.4343786601
H,-0.7487867799, 3.3794536600, 1.4343786601
