at,x,y,z [a.u.]
C,0.0,-0.0,1.2518053738769197
C,0.0,-0.0,-1.2518053738769197
H,-0.0,1.7398939582683326,2.3274306812884835
H,0.0,-1.7398939582683326,2.3274306812884835
H,-0.0,1.7398939582683326,-2.3274306812884835
H,0.0,-1.7398939582683326,-2.3274306812884835
